formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
Ba2NaBe8TlAs8,"['Be', 'Na', 'As', 'Ba', 'Tl']",-0.4087,-0.0969,,5.0152,intercalated ion,0.0969
SmEr3Pd4F28,"['F', 'Pd', 'Sm', 'Er']",-2.8602,-0.0429,1.6713,5.1893,3D,0.0429
Ba6Pu2Fe2O13,"['O', 'Fe', 'Ba', 'Pu']",-2.897,-0.0108,,6.7027,intercalated ion,0.0108
Tb3NdNi2(B8Ir)2,"['B', 'Ni', 'Nd', 'Tb', 'Ir']",-0.6015,-0.0166,0.0018,8.3527,3D,0.0166
Er4Tm5Mg(Ni2Sb)2,"['Mg', 'Ni', 'Sb', 'Er', 'Tm']",-0.5927,-0.0126,0.0032,8.9811,3D,0.0126
CsAcZnSe3,"['Zn', 'Se', 'Cs', 'Ac']",-1.6669,-0.5439,,5.0171,intercalated ion,0.5439
EuAl4Si4PbO16,"['O', 'Al', 'Si', 'Eu', 'Pb']",-3.2596,-0.021,,3.7521,3D,0.021
Dy5Ho11Cd4Os3Pt,"['Cd', 'Dy', 'Ho', 'Os', 'Pt']",-0.3752,-0.0061,,10.1117,3D,0.0061
Nb8CdBiS16,"['S', 'Nb', 'Cd', 'Bi']",-1.327,-0.0257,0.008,4.7562,3D,0.0257
NdTa6TlS12,"['S', 'Nd', 'Ta', 'Tl']",-1.5134,-0.0719,,6.7674,,0.0719
Ho3LuSc2Bi2Rh,"['Sc', 'Rh', 'Ho', 'Lu', 'Bi']",-0.6568,-0.0228,0.0019,9.0358,3D,0.0228
Nd2Si2Pt3,"['Si', 'Nd', 'Pt']",-1.1078,0.0079,,11.535,,0.0079
Ho9Lu(Sn3P)2,"['P', 'Sn', 'Ho', 'Lu']",-0.9472,-0.0334,0.0112,8.6431,3D,0.0334
Tb5Ga7Ni12,"['Ni', 'Ga', 'Tb']",-0.5743,-0.0159,,8.8807,,0.0159
HoTmMo(SeO4)3,"['O', 'Se', 'Mo', 'Ho', 'Tm']",-2.2637,-0.034,,5.9274,3D,0.034
Li2LuSc4P12Ir17,"['Li', 'P', 'Sc', 'Lu', 'Ir']",-0.8359,-0.0715,,12.3267,intercalated ion,0.0715
Er12Tm4MgAg3Rh4,"['Mg', 'Rh', 'Ag', 'Er', 'Tm']",-0.4792,-0.015,0.0037,9.4746,3D,0.015
Tb6Dy6InCo4Os,"['Co', 'In', 'Tb', 'Dy', 'Os']",-0.2495,-0.0174,0.0028,9.3825,3D,0.0174
Dy3YTi2(NbSi2)4,"['Si', 'Ti', 'Y', 'Nb', 'Dy']",-0.7877,-0.0494,0.0015,6.4951,3D,0.0494
Nd20Si9Te7,"['Si', 'Te', 'Nd']",-1.0611,-0.0554,,6.5693,3D,0.0554
YTm2LuPt4F28,"['F', 'Y', 'Tm', 'Lu', 'Pt']",-2.9182,-0.1106,2.2481,6.1842,3D,0.1106
Ho3Er3Co16(TcP6)2,"['P', 'Co', 'Tc', 'Ho', 'Er']",-0.9723,-0.0464,0.0022,8.6877,3D,0.0464
Y6Er2Re3B24Rh,"['B', 'Y', 'Rh', 'Er', 'Re']",-0.64,-0.0091,0.0044,7.6195,3D,0.0091
Rb12AlInSb6,"['Al', 'Rb', 'In', 'Sb']",-0.4475,-0.0229,0.2866,3.6417,intercalated ion,0.0229
Pr5Nd(SnRu)4,"['Ru', 'Sn', 'Pr', 'Nd']",-0.5244,-0.01,0.0049,8.0804,3D,0.01
HoTm4Mn2O12,"['O', 'Mn', 'Ho', 'Tm']",-3.315,-0.0094,0.0032,7.9955,3D,0.0094
NaTa8PbSe16,"['Na', 'Se', 'Ta', 'Pb']",-1.1356,-0.0271,,7.4552,intercalated ion,0.0271
Sr6HoLu(BO3)6,"['B', 'O', 'Sr', 'Ho', 'Lu']",-3.3534,-0.0052,4.7074,4.8081,intercalated ion,0.0052
Ce2Nd6CdHgRu2,"['Ru', 'Cd', 'Ce', 'Nd', 'Hg']",-0.3255,-0.0454,,8.1945,3D,0.0454
Ta6Nb2Co7Si14Rh,"['Si', 'Co', 'Nb', 'Rh', 'Ta']",-0.6456,-0.0174,0.0029,9.0523,3D,0.0174
Dy3HoGa18(Co2Pd)2,"['Co', 'Ga', 'Pd', 'Dy', 'Ho']",-0.542,-0.0103,,8.5164,3D,0.0103
Dy4Tc3Os2Ru3,"['Tc', 'Ru', 'Dy', 'Os']",-0.3025,-0.0345,0.005,12.3185,3D,0.0345
Pr2Sm4Zn4Pd13,"['Zn', 'Pd', 'Pr', 'Sm']",-0.7944,-0.0385,0.0036,9.278,3D,0.0385
Dy6GaNiRu,"['Ni', 'Ga', 'Ru', 'Dy']",-0.4027,-0.0075,,9.0054,,0.0075
Ho2TmHf3(SnRh)6,"['Rh', 'Sn', 'Ho', 'Tm', 'Hf']",-0.8426,-0.0267,0.0093,10.8346,3D,0.0267
Eu2P2IrRh,"['P', 'Rh', 'Eu', 'Ir']",-1.1098,-0.1469,0.0018,8.7436,3D,0.1469
Dy3HoCu3Sb8,"['Cu', 'Sb', 'Dy', 'Ho']",-0.7404,-0.006,0.0031,8.3964,3D,0.006
Sm5DyV2(Co4P3)4,"['P', 'V', 'Co', 'Sm', 'Dy']",-0.954,-0.034,0.0003,7.9021,3D,0.034
PuNpTeCl12,"['Cl', 'Te', 'Np', 'Pu']",-1.8073,-0.16,,3.3245,intercalated ion,0.16
Ho12Si12Ru3Rh,"['Si', 'Ru', 'Rh', 'Ho']",-0.8582,-0.0215,0.011,8.1861,3D,0.0215
Y3HoPaPd15,"['Y', 'Pd', 'Ho', 'Pa']",-0.8887,-0.0358,0.0058,10.6203,3D,0.0358
Sr(CaAu)4,"['Ca', 'Sr', 'Au']",-0.7671,-0.0123,0.0026,6.8733,intercalated ion,0.0123
TbDy2Co8P6W,"['P', 'Co', 'Tb', 'Dy', 'W']",-0.9443,-0.0308,inf,9.154,3D,0.0308
Ta8Co7Si14Os,"['Si', 'Co', 'Ta', 'Os']",-0.6038,-0.0058,0.0005,10.1761,3D,0.0058
Pr8Fe(Si4Pd)3,"['Si', 'Fe', 'Pd', 'Pr']",-0.8284,-0.0007,0.0022,6.0022,3D,0.0007
Nd4CuIrAu2,"['Cu', 'Nd', 'Ir', 'Au']",-0.6483,-0.0061,0.0051,10.128,3D,0.0061
DyLuAl2(Co3B)2,"['B', 'Al', 'Co', 'Dy', 'Lu']",-0.5417,-0.0288,0.0012,8.3795,3D,0.0288
Dy8Sc11Si16Os,"['Si', 'Sc', 'Dy', 'Os']",-0.8097,-0.014,0.003,5.6595,3D,0.014
HfNbCo6B,"['B', 'Co', 'Nb', 'Hf']",-0.3529,-0.0183,0.0047,10.0801,3D,0.0183
Sm3ZnIn3HgRh,"['Zn', 'Rh', 'In', 'Sm', 'Hg']",-0.5598,-0.0186,0.0079,8.9864,3D,0.0186
BaNa4(IrN)3,"['N', 'Na', 'Ba', 'Ir']",-0.2995,-0.0497,0.0052,6.2654,intercalated ion,0.0497
Tm12Ni4HgOs,"['Ni', 'Tm', 'Os', 'Hg']",-0.3737,-0.0171,,10.4984,,0.0171
Sm2Mg(Al3Cu4)3,"['Mg', 'Al', 'Cu', 'Sm']",-0.3631,-0.061,0.0095,6.1398,3D,0.061
NdAs12OsRu3,"['As', 'Ru', 'Nd', 'Os']",-0.4265,0.0001,,8.0138,,0.0001
Tm6Si12Ni17Mo,"['Si', 'Ni', 'Mo', 'Tm']",-0.7647,-0.0117,inf,7.9695,3D,0.0117
SrDy2Y4FeI12,"['Fe', 'Sr', 'Y', 'I', 'Dy']",-1.5135,-0.0564,0.1806,4.8706,intercalated ion,0.0564
PrTh3(SbSe)4,"['Se', 'Sb', 'Pr', 'Th']",-1.5289,-0.0141,,8.3361,,0.0141
Er2Tm10TlCo5,"['Co', 'Er', 'Tm', 'Tl']",-0.2677,-0.0715,,10.0265,,0.0715
